Afrikaans,af,kun je dit,#RWC2019,hallo,🇿🇦
Albanian,sq,natën e mirë,#kosova,përshëndetje,🇦🇱
Arabic,ar,صباح الخير,#love,ههههه,💛
Aragonese,an,bueno,#viernes,ههههه,😂
Armenian,hy,սիրում եմ քեզ,#armenia,Հայաստանի,🇦🇲
Asturian,ast,asturias,#Oviedo,hola,🇪🇸
Azerbaijani,az,ad günün mübarək,#baku,təbriklər,🇦🇿
Basque,eu,maitasun,#Enkarterri,kaixo,🌞
Belarusian,be,Я цябе кахаю,#Minsk,каханне,🇧🇾
Bengali,bn,Abdul Hamid,#dhaka,hahaha,🇧🇩
Bosnian,bs,Valentin Inzko,#sarajevo,zdravo,🇧🇦
Breton,br,Breizh,#breton,hahaha,🎄
Bulgarian,bg,Черно море,#Sofia,Благодаря,🇧🇬
Catalan,ca,bon any nou,#catalonia,divendres,🇪🇸
English,en,Black Lives Matter,#friday,hahaha,🦠
French,fr,Emmanuel Macron,#vendredi,héhéhé,🎄
German,de,hahaha,#freitag,Herzlichen Glückwunsch,🇩🇪
Indonesian,id,Joko Widodo,#jumat,wkwkwkwk,🇮🇩
Italian,it,Serie A,#venerdì,hahaha,🇮🇹
Lojban,jbo,co'o,#lojban,coi,😊
Portuguese,pt,sexta feira,#futebol,kkkkk,🇧🇷
Spanish,es,buenas noches,#viernes,jajaja,🇵🇷
Swedish,sv,Stefan Löfven,#fredag,hahaha,🇸🇪
Turkish,tr,Tayyip Erdoğan,#cuma,hahaha,🇹🇷
Ukrainian,uk,Євромайдан,#п’ятниця,xaxaxa,🇺🇦
Vietnamese,vi,Nguyễn Xuân Phúc,#hanoi,hahaha,🇻🇳
